aspect,pos_pp,neg_pp,asymmetry_pp,ci_low_pp,ci_high_pp,p,note
coffee,-0.6,-8.7,-9.29,-21.34,2.76,0.130812,
food,14.1,-17.41,-3.31,-6.07,-0.56,0.018371,
service_staff,8.73,-10.69,-1.96,-4.97,1.06,0.202693,
wait_time,-0.52,-4.44,-4.96,-8.96,-0.96,0.015109,
value,-0.04,-7.72,-7.76,-11.21,-4.31,1e-05,
ambience,1.12,-4.41,-3.28,-7.54,0.97,0.130379,
seating_space,-0.95,-11.61,-12.56,-17.81,-7.31,3e-06,
noise_crowding,-2.57,-3.09,-5.66,-11.96,0.64,0.078334,
wifi_work,,,,,,,a flag is too rare to estimate
cleanliness,-0.81,-8.19,-9.0,-14.68,-3.32,0.001909,
location_access,-0.83,-1.38,-2.22,-9.29,4.85,0.538741,
