term,n_reviews_with_flag,lpm_coef_pp,lpm_ci_low_pp,lpm_ci_high_pp,lpm_p,logit_coef,logit_p,lpm_p_bh,logit_p_bh,signs_agree
pos_coffee,204,-0.6,-7.08,5.89,0.857116,-0.006,0.970493,0.899972,0.970493,True
neg_coffee,30,-8.7,-19.1,1.71,0.101287,-1.021,0.216035,0.212703,0.412431,True
pos_food,6787,14.1,12.21,15.99,0.0,0.857,0.0,0.0,0.0,True
neg_food,2146,-17.41,-18.97,-15.85,0.0,-1.491,0.0,0.0,0.0,True
pos_service_staff,3032,8.73,6.58,10.89,0.0,0.437,0.0,0.0,0.0,True
neg_service_staff,729,-10.69,-12.58,-8.81,0.0,-2.042,0.0,0.0,0.0,True
pos_wait_time,1108,-0.52,-3.44,2.4,0.727585,-0.014,0.857144,0.818536,0.900001,True
neg_wait_time,693,-4.44,-7.13,-1.75,0.001224,-0.317,0.028894,0.003212,0.06742,True
pos_value,1914,-0.04,-2.32,2.25,0.975839,0.016,0.788607,0.975839,0.900001,False
neg_value,550,-7.72,-10.14,-5.31,0.0,-0.993,0.0,0.0,0.0,True
pos_ambience,2465,1.12,-1.09,3.34,0.320207,0.066,0.265033,0.48031,0.432247,True
neg_ambience,329,-4.41,-7.98,-0.83,0.015619,-0.628,0.002524,0.036444,0.006625,True
pos_seating_space,606,-0.95,-4.65,2.75,0.615909,-0.043,0.67352,0.818536,0.900001,True
neg_seating_space,305,-11.61,-15.32,-7.9,0.0,-1.055,1e-06,0.0,5e-06,True
pos_noise_crowding,419,-2.57,-6.99,1.85,0.255138,-0.136,0.267581,0.412146,0.432247,True
neg_noise_crowding,310,-3.09,-7.55,1.37,0.174306,-0.117,0.498937,0.332766,0.748405,True
pos_wifi_work,109,5.82,-3.06,14.7,0.199026,0.281,0.18511,0.348295,0.388732,True
pos_cleanliness,322,-0.81,-5.63,4.01,0.74058,-0.028,0.831255,0.818536,0.900001,True
neg_cleanliness,187,-8.19,-11.29,-5.08,0.0,-1.937,0.000242,1e-06,0.000726,True
pos_location_access,442,-0.83,-5.12,3.46,0.703481,-0.027,0.817528,0.818536,0.900001,True
neg_location_access,149,-1.38,-7.09,4.32,0.6345,-0.048,0.849793,0.818536,0.900001,True
