flag,method,estimate,ci_low,ci_high
pos_coffee,naive_lexicon,0.0195,0.0169,0.0222
pos_coffee,gold_only,0.0225,0.0079,0.0371
pos_coffee,ppi,0.0324,0.0192,0.0456
neg_coffee,naive_lexicon,0.0029,0.0018,0.0039
neg_coffee,gold_only,0.0,0.0,0.0
neg_coffee,ppi,0.0004,0.0,0.0054
pos_food,naive_lexicon,0.6495,0.6404,0.6587
pos_food,gold_only,0.7125,0.6681,0.7569
pos_food,ppi,0.7406,0.7,0.7812
neg_food,naive_lexicon,0.2054,0.1976,0.2131
neg_food,gold_only,0.355,0.308,0.402
neg_food,ppi,0.3528,0.3071,0.3985
pos_service_staff,naive_lexicon,0.2902,0.2815,0.2989
pos_service_staff,gold_only,0.285,0.2407,0.3293
pos_service_staff,ppi,0.3112,0.2768,0.3456
neg_service_staff,naive_lexicon,0.0698,0.0649,0.0747
neg_service_staff,gold_only,0.1525,0.1172,0.1878
neg_service_staff,ppi,0.1341,0.0996,0.1685
pos_wait_time,naive_lexicon,0.106,0.1001,0.1119
pos_wait_time,gold_only,0.09,0.0619,0.1181
pos_wait_time,ppi,0.0989,0.0767,0.1211
neg_wait_time,naive_lexicon,0.0663,0.0616,0.0711
neg_wait_time,gold_only,0.085,0.0576,0.1124
neg_wait_time,ppi,0.076,0.0505,0.1014
pos_value,naive_lexicon,0.1832,0.1758,0.1906
pos_value,gold_only,0.18,0.1423,0.2177
pos_value,ppi,0.2197,0.1895,0.2499
neg_value,naive_lexicon,0.0526,0.0484,0.0569
neg_value,gold_only,0.1075,0.0771,0.1379
neg_value,ppi,0.0998,0.0744,0.1253
pos_ambience,naive_lexicon,0.2359,0.2278,0.244
pos_ambience,gold_only,0.29,0.2455,0.3345
pos_ambience,ppi,0.3039,0.2707,0.3372
neg_ambience,naive_lexicon,0.0315,0.0281,0.0348
neg_ambience,gold_only,0.0475,0.0266,0.0684
neg_ambience,ppi,0.0594,0.038,0.0809
pos_seating_space,naive_lexicon,0.058,0.0535,0.0625
pos_seating_space,gold_only,0.0525,0.0306,0.0744
pos_seating_space,ppi,0.0374,0.0174,0.0575
neg_seating_space,naive_lexicon,0.0292,0.026,0.0324
neg_seating_space,gold_only,0.035,0.017,0.053
neg_seating_space,ppi,0.0498,0.0325,0.067
pos_noise_crowding,naive_lexicon,0.0401,0.0363,0.0439
pos_noise_crowding,gold_only,0.0225,0.0079,0.0371
pos_noise_crowding,ppi,0.02,0.0027,0.0373
neg_noise_crowding,naive_lexicon,0.0297,0.0264,0.0329
neg_noise_crowding,gold_only,0.0125,0.0016,0.0234
neg_noise_crowding,ppi,0.02,0.0057,0.0342
pos_wifi_work,naive_lexicon,0.0104,0.0085,0.0124
pos_wifi_work,gold_only,0.01,0.0002,0.0198
pos_wifi_work,ppi,0.0104,0.0,0.0245
neg_wifi_work,naive_lexicon,0.0012,0.0006,0.0019
neg_wifi_work,gold_only,0.0,0.0,0.0
neg_wifi_work,ppi,0.0013,0.0006,0.002
pos_cleanliness,naive_lexicon,0.0308,0.0275,0.0341
pos_cleanliness,gold_only,0.0275,0.0115,0.0435
pos_cleanliness,ppi,0.0283,0.0169,0.0398
neg_cleanliness,naive_lexicon,0.0179,0.0154,0.0204
neg_cleanliness,gold_only,0.0275,0.0115,0.0435
neg_cleanliness,ppi,0.0253,0.0104,0.0402
pos_location_access,naive_lexicon,0.0423,0.0384,0.0462
pos_location_access,gold_only,0.05,0.0286,0.0714
pos_location_access,ppi,0.0186,0.0,0.0461
neg_location_access,naive_lexicon,0.0143,0.012,0.0165
neg_location_access,gold_only,0.0275,0.0115,0.0435
neg_location_access,ppi,0.0267,0.0119,0.0416
