model,mean_predicted,observed_rate
M1_tfidf_lr,0.0055,0.0144
M1_tfidf_lr,0.0168,0.0335
M1_tfidf_lr,0.033,0.0431
M1_tfidf_lr,0.0637,0.0957
M1_tfidf_lr,0.1091,0.1627
M1_tfidf_lr,0.1796,0.2488
M1_tfidf_lr,0.2846,0.3589
M1_tfidf_lr,0.4219,0.4163
M1_tfidf_lr,0.6241,0.622
M1_tfidf_lr,0.8582,0.7177
M2_aspects_lr,0.0194,0.0191
M2_aspects_lr,0.067,0.0861
M2_aspects_lr,0.1338,0.1292
M2_aspects_lr,0.205,0.2057
M2_aspects_lr,0.2826,0.2488
M2_aspects_lr,0.3351,0.3541
M2_aspects_lr,0.3682,0.3445
M2_aspects_lr,0.3952,0.4402
M2_aspects_lr,0.441,0.4163
M2_aspects_lr,0.4984,0.4689
M3_aspects_gbt,0.006,0.0191
M3_aspects_gbt,0.0402,0.0718
M3_aspects_gbt,0.1076,0.1382
M3_aspects_gbt,0.1844,0.1921
M3_aspects_gbt,0.2495,0.2754
M3_aspects_gbt,0.315,0.3062
M3_aspects_gbt,0.3495,0.3857
M3_aspects_gbt,0.3992,0.3857
M3_aspects_gbt,0.4628,0.4106
M3_aspects_gbt,0.5926,0.5311
