feature,mean_abs_shap,mean_shap_when_1
neg_food,0.63105,-1.47635
pos_food,0.44715,0.32921
log_words,0.33223,
neg_service_staff,0.30668,-2.27083
pos_service_staff,0.18155,0.27461
neg_value,0.08976,-0.88911
neg_seating_space,0.07097,-1.29905
neg_cleanliness,0.06976,-1.80851
neg_wait_time,0.04699,-0.40156
pos_ambience,0.03975,0.06312
neg_ambience,0.03634,-0.56096
pos_value,0.03329,0.07006
pos_wait_time,0.02845,0.07769
pos_noise_crowding,0.01579,-0.12688
neg_noise_crowding,0.01208,-0.14767
pos_seating_space,0.00887,-0.00839
neg_coffee,0.00805,-1.88627
pos_coffee,0.00539,-0.10689
pos_wifi_work,0.00521,0.21092
neg_location_access,0.00478,-0.06758
pos_location_access,0.00343,-0.02862
pos_cleanliness,0.00064,0.00902
neg_wifi_work,0.0,0.0
